Datum von;(Uhrzeit) von;Zeitzone;(Uhrzeit) bis;Zeitzone;ID AEP in €/MWh
04.01.2024;11:45;CET;12:00;CET;124,640
04.01.2024;12:00;CET;12:15;CET;106,160
04.01.2024;12:15;CET;12:30;CET;109,800
04.01.2024;12:30;CET;12:45;CET;135,710
04.01.2024;12:45;CET;13:00;CET;110,610
04.01.2024;13:00;CET;13:15;CET;78,910
04.01.2024;13:15;CET;13:30;CET;114,830
04.01.2024;13:30;CET;13:45;CET;109,900
04.01.2024;13:45;CET;14:00;CET;97,180
04.01.2024;14:00;CET;14:15;CET;66,370
04.01.2024;14:15;CET;14:30;CET;80,760
04.01.2024;14:30;CET;14:45;CET;124,460
04.01.2024;14:45;CET;15:00;CET;123,940
04.01.2024;15:00;CET;15:15;CET;86,730
04.01.2024;15:15;CET;15:30;CET;78,520
04.01.2024;15:30;CET;15:45;CET;83,820
04.01.2024;15:45;CET;16:00;CET;93,150
04.01.2024;16:00;CET;16:15;CET;87,840
04.01.2024;16:15;CET;16:30;CET;98,920
04.01.2024;16:30;CET;16:45;CET;130,930
04.01.2024;16:45;CET;17:00;CET;132,940
04.01.2024;17:00;CET;17:15;CET;99,880
04.01.2024;17:15;CET;17:30;CET;108,960
04.01.2024;17:30;CET;17:45;CET;156,600
04.01.2024;17:45;CET;18:00;CET;177,470
04.01.2024;18:00;CET;18:15;CET;192,790
04.01.2024;18:15;CET;18:30;CET;183,770
04.01.2024;18:30;CET;18:45;CET;149,920
04.01.2024;18:45;CET;19:00;CET;104,370
04.01.2024;19:00;CET;19:15;CET;100,130
04.01.2024;19:15;CET;19:30;CET;98,040
04.01.2024;19:30;CET;19:45;CET;93,580
04.01.2024;19:45;CET;20:00;CET;100,110
04.01.2024;20:00;CET;20:15;CET;86,930
04.01.2024;20:15;CET;20:30;CET;68,130
04.01.2024;20:30;CET;20:45;CET;60,150
04.01.2024;20:45;CET;21:00;CET;68,800
04.01.2024;21:00;CET;21:15;CET;90,880
04.01.2024;21:15;CET;21:30;CET;81,670
04.01.2024;21:30;CET;21:45;CET;80,000
04.01.2024;21:45;CET;22:00;CET;75,730
04.01.2024;22:00;CET;22:15;CET;100,250
04.01.2024;22:15;CET;22:30;CET;84,900
04.01.2024;22:30;CET;22:45;CET;73,780
04.01.2024;22:45;CET;23:00;CET;60,460
04.01.2024;23:00;CET;23:15;CET;81,240
04.01.2024;23:15;CET;23:30;CET;85,230
04.01.2024;23:30;CET;23:45;CET;73,240
04.01.2024;23:45;CET;00:00;CET;72,820
05.01.2024;00:00;CET;00:15;CET;116,910
05.01.2024;00:15;CET;00:30;CET;105,690
05.01.2024;00:30;CET;00:45;CET;80,220
05.01.2024;00:45;CET;01:00;CET;78,540
05.01.2024;01:00;CET;01:15;CET;94,860
05.01.2024;01:15;CET;01:30;CET;81,180
05.01.2024;01:30;CET;01:45;CET;77,860
05.01.2024;01:45;CET;02:00;CET;73,100
05.01.2024;02:00;CET;02:15;CET;97,630
05.01.2024;02:15;CET;02:30;CET;89,080
05.01.2024;02:30;CET;02:45;CET;79,690
05.01.2024;02:45;CET;03:00;CET;53,770
05.01.2024;03:00;CET;03:15;CET;73,440
05.01.2024;03:15;CET;03:30;CET;63,050
05.01.2024;03:30;CET;03:45;CET;61,290
05.01.2024;03:45;CET;04:00;CET;55,730
05.01.2024;04:00;CET;04:15;CET;57,600
05.01.2024;04:15;CET;04:30;CET;47,200
05.01.2024;04:30;CET;04:45;CET;53,340
05.01.2024;04:45;CET;05:00;CET;55,380
05.01.2024;05:00;CET;05:15;CET;69,680
05.01.2024;05:15;CET;05:30;CET;76,250
05.01.2024;05:30;CET;05:45;CET;88,560
05.01.2024;05:45;CET;06:00;CET;96,020
05.01.2024;06:00;CET;06:15;CET;81,740
05.01.2024;06:15;CET;06:30;CET;74,800
05.01.2024;06:30;CET;06:45;CET;71,210
05.01.2024;06:45;CET;07:00;CET;63,960
05.01.2024;07:00;CET;07:15;CET;84,490
05.01.2024;07:15;CET;07:30;CET;71,590
05.01.2024;07:30;CET;07:45;CET;90,830
05.01.2024;07:45;CET;08:00;CET;106,710
05.01.2024;08:00;CET;08:15;CET;98,630
05.01.2024;08:15;CET;08:30;CET;81,610
05.01.2024;08:30;CET;08:45;CET;49,550
05.01.2024;08:45;CET;09:00;CET;65,210
05.01.2024;09:00;CET;09:15;CET;95,200
05.01.2024;09:15;CET;09:30;CET;100,520
05.01.2024;09:30;CET;09:45;CET;84,350
05.01.2024;09:45;CET;10:00;CET;89,790
05.01.2024;10:00;CET;10:15;CET;97,520
05.01.2024;10:15;CET;10:30;CET;84,500
05.01.2024;10:30;CET;10:45;CET;72,860
05.01.2024;10:45;CET;11:00;CET;63,130
05.01.2024;11:00;CET;11:15;CET;77,700
05.01.2024;11:15;CET;11:30;CET;65,690
05.01.2024;11:30;CET;11:45;CET;88,240
05.01.2024;11:45;CET;12:00;CET;92,170
05.01.2024;12:00;CET;12:15;CET;97,880
05.01.2024;12:15;CET;12:30;CET;93,440
05.01.2024;12:30;CET;12:45;CET;80,090
05.01.2024;12:45;CET;13:00;CET;79,000
05.01.2024;13:00;CET;13:15;CET;90,260
