Datum;Zeitzone;von;bis;Einheit;AEP Modul 1;AEP Modul 2;AEP Modul 3
2024-01-03;CET;07:30;07:45;EUR/MWh;-31,48;N.E.;N.E.
2024-01-03;CET;07:45;08:00;EUR/MWh;-7,70;N.E.;N.E.
2024-01-03;CET;08:00;08:15;EUR/MWh;8,43;N.E.;N.E.
2024-01-03;CET;08:15;08:30;EUR/MWh;104,00;N.E.;N.E.
2024-01-03;CET;08:30;08:45;EUR/MWh;112,04;N.E.;N.E.
2024-01-03;CET;08:45;09:00;EUR/MWh;112,65;N.E.;N.E.
2024-01-03;CET;09:00;09:15;EUR/MWh;5,49;N.E.;N.E.
2024-01-03;CET;09:15;09:30;EUR/MWh;-9,27;N.E.;N.E.
2024-01-03;CET;09:30;09:45;EUR/MWh;-9,43;N.E.;N.E.
2024-01-03;CET;09:45;10:00;EUR/MWh;-24,89;N.E.;N.E.
2024-01-03;CET;10:00;10:15;EUR/MWh;-16,27;N.E.;N.E.
2024-01-03;CET;10:15;10:30;EUR/MWh;-71,37;N.E.;N.E.
2024-01-03;CET;10:30;10:45;EUR/MWh;-30,60;N.E.;N.E.
2024-01-03;CET;10:45;11:00;EUR/MWh;-43,87;N.E.;N.E.
2024-01-03;CET;11:00;11:15;EUR/MWh;N.E.;10,96;N.E.
2024-01-03;CET;11:15;11:30;EUR/MWh;N.E.;22,84;N.E.
2024-01-03;CET;11:30;11:45;EUR/MWh;5,12;N.E.;N.E.
2024-01-03;CET;11:45;12:00;EUR/MWh;-24,14;N.E.;N.E.
2024-01-03;CET;12:00;12:15;EUR/MWh;108,04;N.E.;N.E.
2024-01-03;CET;12:15;12:30;EUR/MWh;110,82;N.E.;N.E.
2024-01-03;CET;12:30;12:45;EUR/MWh;N.E.;105,26;N.E.
2024-01-03;CET;12:45;13:00;EUR/MWh;N.E.;96,28;N.E.
2024-01-03;CET;13:00;13:15;EUR/MWh;-15,90;N.E.;N.E.
2024-01-03;CET;13:15;13:30;EUR/MWh;73,28;N.E.;N.E.
2024-01-03;CET;13:30;13:45;EUR/MWh;-25,26;N.E.;N.E.
2024-01-03;CET;13:45;14:00;EUR/MWh;-54,66;N.E.;N.E.
2024-01-03;CET;14:00;14:15;EUR/MWh;-30,14;N.E.;N.E.
2024-01-03;CET;14:15;14:30;EUR/MWh;-16,09;N.E.;N.E.
2024-01-03;CET;14:30;14:45;EUR/MWh;2,89;N.E.;N.E.
2024-01-03;CET;14:45;15:00;EUR/MWh;111,81;N.E.;N.E.
2024-01-03;CET;15:00;15:15;EUR/MWh;105,18;N.E.;N.E.
2024-01-03;CET;15:15;15:30;EUR/MWh;113,90;N.E.;N.E.
2024-01-03;CET;15:30;15:45;EUR/MWh;106,60;N.E.;N.E.
2024-01-03;CET;15:45;16:00;EUR/MWh;-12,99;N.E.;N.E.
2024-01-03;CET;16:00;16:15;EUR/MWh;89,25;N.E.;N.E.
2024-01-03;CET;16:15;16:30;EUR/MWh;115,34;N.E.;N.E.
2024-01-03;CET;16:30;16:45;EUR/MWh;117,80;N.E.;N.E.
2024-01-03;CET;16:45;17:00;EUR/MWh;119,09;N.E.;N.E.
2024-01-03;CET;17:00;17:15;EUR/MWh;N.E.;105,83;N.E.
2024-01-03;CET;17:15;17:30;EUR/MWh;N.E.;120,65;N.E.
2024-01-03;CET;17:30;17:45;EUR/MWh;N.E.;112,80;N.E.
2024-01-03;CET;17:45;18:00;EUR/MWh;106,12;N.E.;N.E.
2024-01-03;CET;18:00;18:15;EUR/MWh;N.E.;79,89;N.E.
2024-01-03;CET;18:15;18:30;EUR/MWh;N.E.;78,33;N.E.
