Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ)
02.01.2024;CET;09:00;09:15;MW;19,528;26,152;20,248;4,760;70,688;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:15;09:30;MW;1,112;1,488;1,152;0,272;4,024;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;09:30;09:45;MW;0,000;0,000;0,000;0,000;0,000;18,020;24,132;18,684;4,392;65,228
02.01.2024;CET;09:45;10:00;MW;0,000;0,000;0,000;0,000;0,000;18,460;24,720;19,140;4,500;66,820
02.01.2024;CET;10:00;10:15;MW;5,288;7,080;5,480;1,288;19,136;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;10:15;10:30;MW;0,000;0,000;0,000;0,000;0,000;14,528;19,452;15,064;3,540;52,584
02.01.2024;CET;10:30;10:45;MW;0,000;0,000;0,000;0,000;0,000;6,236;8,352;6,464;1,520;22,572
02.01.2024;CET;10:45;11:00;MW;5,984;8,012;6,204;1,460;21,660;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;11:00;11:15;MW;19,452;26,048;20,168;4,740;70,408;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;11:15;11:30;MW;6,956;9,312;7,212;1,696;25,176;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;11:30;11:45;MW;1,148;1,536;1,188;0,280;4,152;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;11:45;12:00;MW;0,000;0,000;0,000;0,000;0,000;1,604;2,144;1,660;0,392;5,800
02.01.2024;CET;12:00;12:15;MW;0,000;0,000;0,000;0,000;0,000;0,340;0,436;0,340;0,080;1,196
02.01.2024;CET;12:15;12:30;MW;0,000;0,000;0,000;0,000;0,000;11,120;14,268;11,100;2,612;39,100
02.01.2024;CET;12:30;12:45;MW;2,072;2,660;2,068;0,488;7,288;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;12:45;13:00;MW;0,000;0,000;0,000;0,000;0,000;13,504;17,328;13,480;3,168;47,480
02.01.2024;CET;13:00;13:15;MW;37,852;48,564;37,784;8,884;133,084;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;13:15;13:30;MW;3,348;4,296;3,344;0,784;11,772;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;13:30;13:45;MW;16,512;21,184;16,484;3,876;58,056;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;13:45;14:00;MW;0,000;0,000;0,000;0,000;0,000;8,644;11,088;8,628;2,028;30,388
02.01.2024;CET;14:00;14:15;MW;0,000;0,000;0,000;0,000;0,000;3,164;4,056;3,156;0,744;11,120
02.01.2024;CET;14:15;14:30;MW;10,288;13,204;10,272;2,416;36,180;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;14:30;14:45;MW;17,016;21,832;16,984;3,992;59,824;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;14:45;15:00;MW;0,000;0,000;0,000;0,000;0,000;18,552;23,804;18,520;4,356;65,232
02.01.2024;CET;15:00;15:15;MW;0,000;0,000;0,000;0,000;0,000;1,320;1,696;1,320;0,308;4,644
02.01.2024;CET;15:15;15:30;MW;25,116;32,224;25,072;5,896;88,308;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;15:30;15:45;MW;13,280;17,040;13,256;3,116;46,692;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;15:45;16:00;MW;0,524;0,672;0,524;0,124;1,844;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;16:00;16:15;MW;0,000;0,000;0,000;0,000;0,000;13,740;13,192;12,104;2,844;41,880
02.01.2024;CET;16:15;16:30;MW;14,252;13,684;12,556;2,952;43,444;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;16:30;16:45;MW;12,504;12,004;11,016;2,588;38,112;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;16:45;17:00;MW;0,000;0,000;0,000;0,000;0,000;4,868;4,676;4,288;1,008;14,840
02.01.2024;CET;17:00;17:15;MW;0,000;0,000;0,000;0,000;0,000;9,112;8,748;8,028;1,888;27,776
02.01.2024;CET;17:15;17:30;MW;3,492;3,352;3,076;0,724;10,644;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;17:30;17:45;MW;2,888;2,772;2,544;0,600;8,804;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;17:45;18:00;MW;0,000;0,000;0,000;0,000;0,000;7,512;7,212;6,620;1,556;22,900
02.01.2024;CET;18:00;18:15;MW;0,000;0,000;0,000;0,000;0,000;6,616;6,352;5,828;1,372;20,168
02.01.2024;CET;18:15;18:30;MW;0,000;0,000;0,000;0,000;0,000;2,728;2,620;2,404;0,564;8,316
02.01.2024;CET;18:30;18:45;MW;0,000;0,000;0,000;0,000;0,000;5,172;4,968;4,556;1,072;15,768
02.01.2024;CET;18:45;19:00;MW;24,596;23,612;21,668;5,096;74,972;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;19:00;19:15;MW;0,000;0,000;0,000;0,000;0,000;13,252;12,724;11,672;2,744;40,392
02.01.2024;CET;19:15;19:30;MW;3,024;2,904;2,664;0,628;9,220;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;19:30;19:45;MW;0,000;0,000;0,000;0,000;0,000;5,680;5,456;5,004;1,176;17,316
02.01.2024;CET;19:45;20:00;MW;6,256;6,008;5,512;1,296;19,072;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;20:00;20:15;MW;40,456;52,652;40,768;9,584;143,460;0,000;0,000;0,000;0,000;0,000
02.01.2024;CET;20:15;20:30;MW;0,000;0,000;0,000;0,000;0,000;26,220;34,124;26,420;6,212;92,976
02.01.2024;CET;20:30;20:45;MW;0,000;0,000;0,000;0,000;0,000;1,148;1,496;1,160;0,272;4,076
02.01.2024;CET;20:45;21:00;MW;0,000;0,000;0,000;0,000;0,000;4,656;6,060;4,692;1,104;16,512
